x,y
-86834.6016,-69723.2344
-86931.5469,-69598.8906
-87525.7656,-69460.4844
-87705.3672,-69899.4375
-87844.1953,-69819.8672
-87883.3125,-69448.8359
-87643.75,-69290.3672
-87518.1406,-68579.3516
-87037.6172,-68132.9219
-34174.0508,-42491.0703
-32680.666,-45618.5625
